Simulated discharge at the outlet at every model timestep.
Date_yyyy-mm-dd_hours(iso8601format),Time(hours),Outlet_Discharge(m3/s)
1977-10-04T02:18:54,74.31508,.15837
1977-10-04T03:18:54,75.31508,.15390
1977-10-04T04:18:54,76.31508,.14962
1977-10-04T05:18:54,77.31508,.14551
1977-10-04T06:18:54,78.31508,.14156
1977-10-04T07:18:54,79.31508,.13776
1977-10-04T08:18:54,80.31508,.13412
1977-10-04T09:18:54,81.31508,.13061
1977-10-04T10:18:54,82.31508,.12724
1977-10-04T11:18:54,83.31508,.12400
1977-10-04T12:18:54,84.31508,.12088
1977-10-04T13:18:54,85.31508,.11787
1977-10-04T14:18:54,86.31508,.11497
1977-10-04T15:18:54,87.31508,.11218
1977-10-04T16:18:54,88.31508,.10949
1977-10-04T17:18:54,89.31508,.10690
1977-10-04T18:18:54,90.31508,.10440
1977-10-04T19:18:54,91.31508,.10199
1977-10-04T20:18:54,92.31508,.09966
1977-10-04T21:18:54,93.31508,.09741
1977-10-04T22:18:54,94.31508,.09524
1977-10-04T23:18:54,95.31508,.09315
1977-10-05T00:18:54,96.31508,.09112
1977-10-05T01:18:54,97.31508,.08916
1977-10-05T02:18:54,98.31508,.08727
1977-10-05T03:18:54,99.31508,.08544
1977-10-05T04:18:54,100.31508,.08367
1977-10-05T05:18:54,101.31508,.08195
1977-10-05T06:18:54,102.31508,.08029
1977-10-05T07:18:54,103.31508,.07869
1977-10-05T08:18:54,104.31508,.07713
1977-10-05T09:18:54,105.31508,.07563
1977-10-05T10:18:54,106.31508,.07417
1977-10-05T11:18:54,107.31508,.07275
1977-10-05T12:18:54,108.31508,.07138
1977-10-05T13:18:54,109.31508,.07005
1977-10-05T14:18:54,110.31508,.06876
1977-10-05T15:18:54,111.31508,.06751
1977-10-05T16:18:54,112.31508,.06630
1977-10-05T17:18:54,113.31508,.06512
1977-10-05T18:18:54,114.31508,.06397
1977-10-05T19:18:54,115.31508,.06286
1977-10-05T20:18:54,116.31508,.06179
1977-10-05T21:18:54,117.31508,.06074
1977-10-05T22:03:06,118.05172,.06454
1977-10-05T22:06:12,118.10344,.06915
1977-10-05T22:09:18,118.15517,.07390
1977-10-05T22:12:24,118.20689,.07875
1977-10-05T22:15:31,118.25861,.08372
1977-10-05T22:18:37,118.31033,.08881
1977-10-05T22:21:43,118.36206,.09400
1977-10-05T22:24:49,118.41378,.09931
1977-10-05T22:27:55,118.46550,.10473
1977-10-05T22:31:02,118.51722,.11027
1977-10-05T22:34:08,118.56895,.11591
1977-10-05T22:37:14,118.62067,.12167
